state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,StateName,Region,FIPS,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
ID,120000,64,7680000,2304000,0.72,5530000,1997,Idaho,West,16,0.0,2210.1,0.0,0.0,0.0,2210.1
ID,125000,48,6000000,1020000,0.69,4140000,1995,Idaho,West,16,0.0,182.1,0.0,0.0,0.0,182.1
ID,127000,59,7493000,1274000,0.52,3896000,1994,Idaho,West,16,0.0,52.7,0.0,0.0,0.0,52.7
ID,133000,71,9443000,1700000,0.52,4910000,1993,Idaho,West,16,,,,,,
ID,135000,51,6885000,1308000,0.52,3580000,1992,Idaho,West,16,,,,,,
ID,140000,46,6440000,1739000,0.54,3478000,1991,Idaho,West,16,,,,,,
ID,1.00E+05,46,4600000,1380000,1.33,6118000,2003,Idaho,West,16,0.0,3601.3,575.4,27.1,0.0,4203.8
ID,1.00E+05,46,4600000,1610000,0.67,3082000,2001,Idaho,West,16,0.0,2620.4,145.1,0.0,0.0,2765.5
ID,1.00E+05,47,4700000,2679000,0.52,2444000,2000,Idaho,West,16,0.0,4524.8,0.0,0.0,0.0,4524.8
ID,1.00E+05,57,5700000,1653000,1.37,7809000,2002,Idaho,West,16,0.0,2132.6,1352.3,4.5,0.0,3489.4
ID,1.00E+05,63,6300000,2520000,1.02,6426000,2004,Idaho,West,16,0.3,3398.2,973.4,133.9,60.7,4566.5
ID,100000,34,3400000,850000,2.03,6902000,2014,Idaho,West,16,6741.1,30798.5,5683.5,40.1,31.2,43294.4
ID,103000,46,4738000,1706000,1.52,7202000,2009,Idaho,West,16,2353.4,22734.0,3717.1,61.7,19.3,28885.5
ID,120000,48,5760000,3110000,0.59,3398000,1999,Idaho,West,16,0.0,906.8,0.0,0.0,0.0,906.8
ID,120000,50,6.00E+06,2220000,0.65,3900000,1998,Idaho,West,16,0.0,2116.3,0.0,0.0,0.0,2116.3
ID,83000,32,2656000,1036000,2.02,5365000,2013,Idaho,West,16,4217.4,27564.6,7735.4,44.4,19.4,39581.2
ID,87000,36,3132000,1879000,1.78,5575000,2011,Idaho,West,16,1157.6,25864.1,4727.0,108.7,27.6,31885.0
ID,89000,32,2848000,1082000,1.93,5497000,2015,Idaho,West,16,0.3,20995.8,178.2,53.3,3.2,21230.8
ID,90000,40,3600000,1440000,1.46,5256000,2008,Idaho,West,16,470.2,15855.1,1813.0,76.1,15.6,18230.0
ID,92000,32,2944000,530000,1.63,4799000,2012,Idaho,West,16,3325.7,34000.0,5972.2,87.5,4.9,43390.3
ID,92000,41,3772000,1848000,1.15,4338000,2007,Idaho,West,16,60.6,9556.5,1220.5,67.5,18.6,10923.7
ID,95000,37,3515000,1793000,0.8,2812000,2005,Idaho,West,16,99.1,3750.9,1607.9,117.0,23.0,5597.9
ID,95000,44,4180000,1045000,1.79,7482000,2017,Idaho,West,16,,,,,,
ID,95000,44,4180000,2592000,0.97,4055000,2006,Idaho,West,16,1186.8,5475.7,1106.5,157.1,2.8,7928.9
ID,97000,27,2619000,1179000,1.61,4217000,2010,Idaho,West,16,4288.3,19051.4,6740.8,143.4,36.7,30260.6
ID,97000,34,3298000,1253000,1.82,6002000,2016,Idaho,West,16,1.1,16642.4,2278.5,115.6,0.0,19037.6
IL,7000,69,483000,222000,1.27,613000,1997,Illinois,Midwest,17,0.0,143.2,0.0,0.0,0.0,143.2
IL,11000,74,814000,212000,1.13,920000,1995,Illinois,Midwest,17,0.0,50.0,0.0,0.0,0.0,50.0
IL,11000,74,814000,285000,1.35,1099000,1996,Illinois,Midwest,17,0.0,69.8,0.0,0.0,0.0,69.8
IL,13000,80,1040000,468000,1.04,1082000,1994,Illinois,Midwest,17,,,,,,
IL,15000,48,720000,252000,0.96,691000,1993,Illinois,Midwest,17,,,,,,
IL,16000,53,848000,237000,0.88,746000,1992,Illinois,Midwest,17,,,,,,
IL,21000,52,1092000,393000,0.79,863000,1991,Illinois,Midwest,17,,,,,,
IL,10000,48,480000,77000,5.42,2602000,2016,Illinois,Midwest,17,2.5,8139.3,2710.1,0.0,0.0,10851.9
IL,10000,66,660000,356000,2.14,1412000,2006,Illinois,Midwest,17,39370.0,2538.7,8750.8,74.9,64.3,50798.7
IL,11000,46,506000,167000,4.76,2409000,2017,Illinois,Midwest,17,,,,,,
IL,6000,76,456000,251000,1.58,720000,2001,Illinois,Midwest,17,0.0,650.8,0.0,0.0,0.0,650.8
IL,7000,48,336000,101000,4.19,1408000,2013,Illinois,Midwest,17,222432.9,79582.5,31131.3,178.9,0.0,333325.6
IL,7000,50,350000,98000,3.9,1365000,2011,Illinois,Midwest,17,130241.7,66760.4,30175.8,98.2,0.0,227276.1
IL,7000,55,385000,193000,1.86,716000,2004,Illinois,Midwest,17,38467.5,7921.4,2068.2,456.9,110.5,49024.5
IL,7000,60,420000,252000,1.83,769000,2003,Illinois,Midwest,17,0.0,790.6,21.7,46.3,0.0,858.6
IL,7000,61,427000,145000,3.55,1516000,2012,Illinois,Midwest,17,212756.9,58895.9,38048.5,152.7,0.0,309854.0
IL,8000,34,272000,57000,2.55,694000,2009,Illinois,Midwest,17,87037.3,8471.3,33399.8,123.2,0.0,129031.6
IL,8000,49,392000,94000,4.11,1611000,2014,Illinois,Midwest,17,278498.8,85852.3,38568.4,92.1,0.0,403011.6
IL,8000,51,408000,155000,4.66,1901000,2015,Illinois,Midwest,17,17.1,6849.6,15849.1,80.9,0.0,22796.7
IL,8000,56,448000,116000,2.59,1160000,2008,Illinois,Midwest,17,83463.1,10470.0,17551.8,24.9,0.0,111509.8
IL,8000,61,488000,146000,1.17,571000,2000,Illinois,Midwest,17,0.0,416.4,0.0,0.0,0.0,416.4
IL,8000,85,680000,408000,1.84,1251000,2005,Illinois,Midwest,17,47239.0,7969.5,4114.8,74.2,0.0,59397.5
IL,9000,41,369000,92000,2.78,1026000,2010,Illinois,Midwest,17,78975.3,74302.9,34804.7,24.5,0.0,188107.4
IL,9000,63,567000,374000,2.49,1412000,2007,Illinois,Midwest,17,59760.1,6555.4,14219.0,73.1,0.0,80607.6
IL,9000,66,594000,327000,1.15,683000,1999,Illinois,Midwest,17,0.0,231.0,0.0,0.0,0.0,231.0
IL,9000,71,639000,204000,1.19,760000,1998,Illinois,Midwest,17,0.0,200.9,0.0,0.0,0.0,200.9
IL,9000,80,720000,130000,1.47,1058000,2002,Illinois,Midwest,17,0.0,293.7,15.7,0.0,0.0,309.4
IN,8000,71,568000,352000,1.13,642000,1997,Indiana,Midwest,18,0.0,414.7,0.0,0.0,0.0,414.7
IN,9000,75,675000,412000,1.03,695000,1996,Indiana,Midwest,18,0.0,617.8,0.0,0.0,0.0,617.8
IN,12000,63,756000,166000,0.72,544000,1995,Indiana,Midwest,18,0.0,81.3,0.0,0.0,0.0,81.3
IN,12000,66,792000,364000,0.7,554000,1993,Indiana,Midwest,18,,,,,,
IN,13000,54,702000,204000,0.71,498000,1994,Indiana,Midwest,18,,,,,,
IN,15000,31,465000,186000,0.72,335000,1992,Indiana,Midwest,18,,,,,,
IN,21000,50,1050000,368000,0.68,714000,1991,Indiana,Midwest,18,,,,,,
IN,10000,43,430000,151000,2.23,959000,2010,Indiana,Midwest,18,38671.5,50011.9,16785.9,30.8,13.7,105513.8
IN,10000,81,810000,437000,0.9,729000,1999,Indiana,Midwest,18,0.0,458.3,0.0,0.0,0.0,458.3
IN,5000,56,280000,78000,1.66,465000,2003,Indiana,Midwest,18,0.0,441.8,69.0,65.5,0.0,576.3
IN,5000,62,310000,115000,3.19,989000,2014,Indiana,Midwest,18,149287.3,66659.6,18844.2,56.8,0.4,234848.3
IN,6000,47,282000,82000,2.77,781000,2013,Indiana,Midwest,18,123068.8,37155.9,23874.4,27.6,0.0,184126.7
IN,6000,53,318000,165000,3.23,1027000,2015,Indiana,Midwest,18,7.1,2418.8,1287.9,38.3,0.0,3752.1
IN,7000,48,336000,128000,3.94,1324000,2017,Indiana,Midwest,18,,,,,,
IN,7000,54,378000,125000,1.58,597000,2006,Indiana,Midwest,18,28214.9,4295.6,10034.6,32.6,53.1,42630.8
IN,7000,59,413000,145000,1.47,607000,2004,Indiana,Midwest,18,18854.2,3633.8,2092.6,66.7,83.6,24730.9
IN,7000,62,434000,208000,3.46,1502000,2016,Indiana,Midwest,18,6.4,1768.4,937.9,35.3,0.0,2748.0
IN,7000,67,469000,150000,1.68,788000,2008,Indiana,Midwest,18,37050.8,2742.7,10810.1,20.2,18.6,50642.4
IN,7000,76,532000,186000,0.92,489000,2001,Indiana,Midwest,18,0.0,393.3,0.0,0.0,0.0,393.3
IN,8000,51,408000,147000,2.14,873000,2011,Indiana,Midwest,18,56387.8,53736.8,15199.8,45.6,4.3,125374.3
IN,8000,53,424000,119000,1.5,636000,2007,Indiana,Midwest,18,45215.8,7096.6,10117.2,40.6,10.2,62480.4
IN,8000,59,472000,203000,2.54,1199000,2012,Indiana,Midwest,18,108503.1,52850.4,19470.2,28.2,1.7,180853.6
IN,8000,62,496000,233000,1.19,590000,2002,Indiana,Midwest,18,0.0,255.7,30.2,0.0,0.0,285.9
IN,8000,64,512000,189000,1.18,604000,2005,Indiana,Midwest,18,39014.6,2692.9,6777.0,41.7,24.5,48550.7
IN,8000,65,520000,286000,1.03,536000,2000,Indiana,Midwest,18,0.0,228.9,0.0,0.0,0.0,228.9
IN,9000,32,288000,101000,2.02,582000,2009,Indiana,Midwest,18,37115.0,13889.8,15124.8,76.8,19.8,66226.2
IN,9000,92,828000,489000,0.85,704000,1998,Indiana,Midwest,18,0.0,93.1,0.0,0.0,0.0,93.1
KS,16000,51,816000,294000,0.94,767000,1996,Kansas,Midwest,20,0.0,7.6,0.0,0.0,0.0,7.6
KS,17000,67,1139000,182000,0.89,1014000,1995,Kansas,Midwest,20,0.0,24.4,0.0,0.0,0.0,24.4
KS,17000,71,1207000,688000,0.81,978000,1997,Kansas,Midwest,20,0.0,156.7,0.0,0.0,0.0,156.7
KS,19000,47,893000,214000,0.72,643000,1994,Kansas,Midwest,20,,,,,,
KS,23000,57,1311000,891000,0.56,734000,1993,Kansas,Midwest,20,,,,,,
KS,28000,58,1624000,244000,0.59,958000,1992,Kansas,Midwest,20,,,,,,
KS,35000,52,1820000,291000,0.6,1092000,1991,Kansas,Midwest,20,,,,,,
KS,10000,61,610000,128000,1.55,946000,2008,Kansas,Midwest,20,18574.2,6267.3,11798.4,0.0,0.0,36639.9
KS,13000,51,663000,530000,0.96,636000,2001,Kansas,Midwest,20,0.0,46.9,0.0,0.0,0.0,46.9
KS,13000,67,871000,854000,1.11,967000,1999,Kansas,Midwest,20,0.0,22.6,0.0,0.0,0.0,22.6
KS,14000,40,560000,196000,1.18,661000,2007,Kansas,Midwest,20,20029.0,1155.9,6636.6,0.0,235.3,28056.8
KS,14000,55,770000,246000,1.17,901000,2006,Kansas,Midwest,20,12961.0,3964.6,9406.4,0.0,0.0,26332.0
KS,14000,80,1120000,683000,1.18,1322000,2004,Kansas,Midwest,20,7479.3,10636.1,3575.9,20.2,0.0,21711.5
KS,15000,68,1020000,520000,0.91,928000,2000,Kansas,Midwest,20,0.0,28.7,0.0,0.0,0.0,28.7
KS,16000,46,736000,390000,0.87,640000,1998,Kansas,Midwest,20,0.0,20.1,0.0,0.0,0.0,20.1
KS,16000,50,8.00E+05,328000,1.05,840000,2005,Kansas,Midwest,20,10489.0,3142.6,5469.7,0.0,0.0,19101.3
KS,16000,57,912000,447000,1.41,1286000,2003,Kansas,Midwest,20,0.0,23.7,81.7,16.2,0.0,121.6
KS,17000,52,884000,407000,1.5,1326000,2002,Kansas,Midwest,20,0.0,10.2,98.1,0.0,0.0,108.3
KS,6000,46,276000,39000,2.5,690000,2013,Kansas,Midwest,20,71506.6,29835.0,29067.0,0.0,0.0,130408.6
KS,6000,55,330000,125000,2.28,752000,2012,Kansas,Midwest,20,48739.6,37132.2,29558.4,0.0,0.0,115430.2
KS,7000,44,308000,117000,2.15,662000,2011,Kansas,Midwest,20,29542.7,19711.5,24384.9,0.0,0.0,73639.1
KS,7000,48,336000,54000,3.04,1021000,2016,Kansas,Midwest,20,0.0,2221.5,2408.3,0.0,0.0,4629.8
KS,7000,75,525000,84000,2.38,1250000,2014,Kansas,Midwest,20,67757.5,46814.4,31315.3,0.3,0.0,145887.5
KS,7000,79,553000,260000,4.18,2312000,2017,Kansas,Midwest,20,,,,,,
KS,8000,36,288000,107000,3.5,1008000,2015,Kansas,Midwest,20,0.0,2238.9,2230.0,0.2,0.0,4469.1
KS,9000,52,468000,103000,2.02,945000,2010,Kansas,Midwest,20,15132.8,22264.7,17974.1,0.0,0.0,55371.6
KS,9000,63,567000,164000,1.85,1049000,2009,Kansas,Midwest,20,24430.8,8915.2,26354.2,0.0,0.0,59700.2
KY,3000,44,132000,30000,1.02,135000,1995,Kentucky,South,21,0.0,78.8,0.0,0.0,0.0,78.8
KY,3000,54,162000,57000,0.98,159000,1994,Kentucky,South,21,,,,,,
KY,3000,60,180000,23000,1.28,230000,1996,Kentucky,South,21,0.0,34.5,0.0,0.0,0.0,34.5
KY,3000,60,180000,54000,1.48,266000,1997,Kentucky,South,21,0.0,1370.3,0.0,0.0,0.0,1370.3
KY,4000,30,120000,54000,0.74,89000,1992,Kentucky,South,21,,,,,,
KY,4000,60,240000,89000,0.84,202000,1993,Kentucky,South,21,,,,,,
KY,7000,25,175000,88000,0.96,168000,1991,Kentucky,South,21,,,,,,
KY,3000,41,123000,17000,3.25,400000,2013,Kentucky,South,21,32857.7,14255.7,4577.4,27.2,0.0,51718.0
KY,3000,50,150000,12000,1.24,186000,1999,Kentucky,South,21,0.0,4566.6,0.0,0.0,0.0,4566.6
KY,3000,50,150000,51000,1.4,210000,1998,Kentucky,South,21,0.0,3317.9,0.0,0.0,0.0,3317.9
KY,4000,39,156000,12000,3.17,495000,2011,Kentucky,South,21,7982.0,16392.4,11304.4,32.7,0.0,35711.5
KY,4000,39,156000,27000,2.44,381000,2008,Kentucky,South,21,5241.4,5605.5,2053.5,36.4,0.0,12936.8
KY,4000,48,192000,54000,1.35,259000,2000,Kentucky,South,21,0.0,3284.7,0.0,0.0,0.0,3284.7
KY,4000,61,244000,54000,2.12,517000,2007,Kentucky,South,21,9675.1,2649.4,1569.6,30.7,0.0,13924.8
KY,4000,78,312000,125000,1.41,440000,2001,Kentucky,South,21,0.0,2705.4,0.0,0.0,0.0,2705.4
KY,5000,35,175000,25000,2.71,474000,2009,Kentucky,South,21,8067.6,5332.7,3797.5,42.7,0.0,17240.5
KY,5000,38,190000,42000,4.08,775000,2017,Kentucky,South,21,,,,,,
KY,5000,46,230000,48000,4.02,925000,2016,Kentucky,South,21,8.4,4470.0,339.8,27.3,0.0,4845.5
KY,5000,46,230000,55000,4.04,929000,2015,Kentucky,South,21,2.5,3918.7,582.5,58.5,0.0,4562.2
KY,5000,47,235000,56000,3.96,931000,2014,Kentucky,South,21,36534.5,30765.2,8474.1,45.4,0.0,75819.2
KY,5000,48,240000,14000,1.67,401000,2003,Kentucky,South,21,0.0,2013.9,312.9,3.6,0.0,2330.4
KY,5000,50,250000,40000,2.08,520000,2005,Kentucky,South,21,1915.3,1821.1,428.5,28.4,0.0,4193.3
KY,5000,51,255000,41000,3.15,803000,2012,Kentucky,South,21,19734.3,13952.5,6714.5,18.6,0.0,40419.9
KY,5000,54,270000,78000,1.63,440000,2002,Kentucky,South,21,0.0,2862.4,137.7,0.0,0.0,3000.1
KY,5000,56,280000,34000,1.96,549000,2004,Kentucky,South,21,1655.6,3462.8,348.6,54.6,1.9,5523.5
KY,5000,56,280000,70000,2.19,613000,2006,Kentucky,South,21,3652.4,4672.3,1422.8,60.9,1.1,9809.5
KY,5000,67,335000,67000,2.72,911000,2010,Kentucky,South,21,8732.8,16406.8,3748.7,21.6,0.0,28909.9
LA,33000,119,3927000,275000,0.63,2474000,1995,Louisiana,South,22,0.0,945.9,0.0,0.0,0.0,945.9
LA,35000,98,3430000,515000,0.46,1578000,1994,Louisiana,South,22,,,,,,
LA,37000,106,3922000,784000,0.83,3255000,1996,Louisiana,South,22,0.0,1406.4,0.0,0.0,0.0,1406.4
LA,40000,70,2800000,168000,0.53,1484000,1991,Louisiana,South,22,,,,,,
LA,44000,115,5060000,759000,0.7,3542000,1997,Louisiana,South,22,0.0,493.8,0.0,0.0,0.0,493.8
LA,45000,107,4815000,385000,0.51,2456000,1992,Louisiana,South,22,,,,,,
LA,47000,86,4042000,1213000,0.52,2102000,1993,Louisiana,South,22,,,,,,
LA,29000,89,2581000,413000,1.08,2787000,2007,Louisiana,South,22,730.1,3945.3,9864.2,759.7,0.0,15299.3
LA,30000,90,2700000,675000,0.9,2430000,2006,Louisiana,South,22,1909.5,4995.6,13520.1,356.3,0.0,20781.5
LA,34000,90,3060000,275000,1.24,3794000,2003,Louisiana,South,22,0.0,1251.1,1297.8,25.5,0.0,2574.4
LA,35000,124,4340000,347000,1.16,5034000,2002,Louisiana,South,22,0.0,1309.1,221.2,75.5,0.0,1605.8
LA,35000,97,3395000,611000,0.72,2444000,2005,Louisiana,South,22,560.3,3257.3,5588.3,91.5,0.0,9497.4
LA,35000,98,3430000,240000,0.79,2710000,2004,Louisiana,South,22,136.6,5336.1,7054.0,490.4,0.0,13017.1
LA,36000,77,2772000,471000,1.67,4629000,2011,Louisiana,South,22,4850.7,20744.8,19026.7,2129.5,0.0,46751.7
LA,36000,80,2880000,288000,1.5,4320000,2010,Louisiana,South,22,3808.5,18262.6,6468.3,107.2,0.0,28646.6
LA,37000,103,3811000,610000,1.36,5183000,2009,Louisiana,South,22,4220.8,4983.4,14607.0,384.2,0.0,24195.4
LA,40000,77,3080000,493000,1.36,4189000,2008,Louisiana,South,22,1058.4,10848.2,14375.5,451.6,0.0,26733.7
LA,41000,111,4551000,865000,0.59,2685000,1998,Louisiana,South,22,0.0,433.8,0.0,0.0,0.0,433.8
LA,41000,86,3526000,141000,1.83,6453000,2012,Louisiana,South,22,6514.1,18133.3,20919.4,0.1,0.0,45566.9
LA,43000,81,3483000,279000,1.88,6548000,2017,Louisiana,South,22,,,,,,
LA,43000,94,4042000,1334000,0.52,2102000,2000,Louisiana,South,22,0.0,2964.7,0.0,0.0,0.0,2964.7
LA,44000,99,4356000,348000,1.95,8494000,2015,Louisiana,South,22,0.0,7778.9,4740.4,593.0,0.0,13112.3
LA,45000,106,4770000,572000,0.6,2862000,2001,Louisiana,South,22,0.0,2804.1,460.1,0.0,0.0,3264.2
LA,48000,114,5472000,821000,0.49,2681000,1999,Louisiana,South,22,0.0,628.4,0.0,0.0,0.0,628.4
LA,48000,84,4032000,524000,2.18,8790000,2014,Louisiana,South,22,4006.1,20872.0,24656.1,543.1,0.0,50077.3
LA,50000,86,4300000,301000,1.94,8342000,2016,Louisiana,South,22,0.0,10335.2,5216.2,282.6,0.0,15834.0
LA,50000,98,4900000,490000,1.89,9261000,2013,Louisiana,South,22,5418.9,15364.7,16757.5,11.0,0.0,37552.1
MD,6000,23,138000,51000,0.99,137000,1992,Maryland,South,24,,,,,,
MD,6000,40,240000,65000,1.59,382000,1997,Maryland,South,24,0.0,475.1,0.0,0.0,0.0,475.1
MD,7000,25,175000,60000,1.12,196000,1991,Maryland,South,24,,,,,,
MD,7000,27,189000,77000,1.47,278000,1993,Maryland,South,24,,,,,,
MD,7000,32,224000,40000,1.21,271000,1996,Maryland,South,24,0.0,864.0,0.0,0.0,0.0,864.0
MD,7000,35,245000,81000,1.03,252000,1995,Maryland,South,24,0.0,361.9,0.0,0.0,0.0,361.9
MD,7000,36,252000,83000,1.08,272000,1994,Maryland,South,24,,,,,,
MD,2000,42,84000,21000,1.93,162000,2003,Maryland,South,24,0.0,213.7,53.0,1.3,0.0,268.0
MD,3000,46,138000,21000,1.96,270000,2002,Maryland,South,24,0.0,541.2,21.3,0.0,0.0,562.5
MD,4000,46,184000,55000,1.6,294000,2001,Maryland,South,24,0.0,339.5,0.0,0.0,0.0,339.5
MD,6000,46,276000,50000,1.64,453000,1999,Maryland,South,24,0.0,313.0,0.0,0.0,0.0,313.0
MD,6000,46,276000,52000,1.14,315000,2000,Maryland,South,24,0.0,318.2,0.0,0.0,0.0,318.2
MD,7000,44,308000,92000,1.1,339000,1998,Maryland,South,24,0.0,474.7,0.0,0.0,0.0,474.7
ME,8000,19,152000,9000,0.7,106000,1997,Maine,Northeast,23,0.0,2408.3,0.0,0.0,0.0,2408.3
ME,8000,55,440000,172000,0.6,264000,1994,Maine,Northeast,23,,,,,,
ME,9000,23,207000,21000,1.06,219000,1996,Maine,Northeast,23,0.0,3235.5,0.0,0.0,0.0,3235.5
ME,11000,45,495000,223000,0.97,480000,1995,Maine,Northeast,23,0.0,2092.3,0.0,0.0,0.0,2092.3
ME,13000,42,546000,213000,0.69,377000,1991,Maine,Northeast,23,,,,,,
ME,13000,50,650000,215000,0.68,442000,1993,Maine,Northeast,23,,,,,,
ME,15000,22,330000,122000,0.77,254000,1992,Maine,Northeast,23,,,,,,
ME,10000,26,260000,117000,0.69,179000,1998,Maine,Northeast,23,0.0,2915.3,0.0,0.0,0.0,2915.3
ME,10000,47,470000,47000,5.43,2552000,2015,Maine,Northeast,23,12.8,1774.8,320.9,0.0,0.0,2108.5
ME,11000,20,220000,106000,0.79,174000,2001,Maine,Northeast,23,0.0,3353.3,0.0,0.0,0.0,3353.3
ME,11000,21,231000,143000,0.75,173000,2000,Maine,Northeast,23,0.0,4299.4,0.0,0.0,0.0,4299.4
ME,11000,23,253000,86000,1.6,405000,2006,Maine,Northeast,23,0.0,2595.2,347.8,142.7,0.0,3085.7
ME,11000,41,451000,266000,1.21,546000,2002,Maine,Northeast,23,0.0,4659.4,301.6,0.0,0.0,4961.0
ME,12000,33,396000,51000,5.45,2158000,2017,Maine,Northeast,23,,,,,,
ME,12000,34,408000,65000,3.38,1379000,2016,Maine,Northeast,23,85.8,1834.7,600.0,0.0,0.0,2520.5
ME,14000,22,308000,89000,0.83,256000,1999,Maine,Northeast,23,0.0,4802.6,0.0,0.0,0.0,4802.6
ME,4000,30,120000,17000,1.98,238000,2011,Maine,Northeast,23,372.6,3005.5,1208.6,559.6,0.0,5146.3
ME,4000,34,136000,24000,2.39,325000,2012,Maine,Northeast,23,197.3,1910.0,1667.6,0.0,0.0,3774.9
ME,5000,41,205000,33000,2.05,420000,2010,Maine,Northeast,23,140.3,2738.7,1302.1,395.4,0.0,4576.5
ME,6000,50,3.00E+05,51000,1.95,585000,2009,Maine,Northeast,23,186.3,3936.2,885.6,10.3,0.0,5018.4
ME,7000,31,217000,37000,1.28,278000,2004,Maine,Northeast,23,0.0,5041.3,160.8,0.0,0.0,5202.1
ME,7000,42,294000,79000,1.57,462000,2008,Maine,Northeast,23,3.3,3620.6,204.8,2764.8,0.0,6593.5
ME,7000,43,301000,27000,3.14,945000,2013,Maine,Northeast,23,100.1,1808.0,1935.0,0.0,0.0,3843.1
ME,8000,26,208000,193000,1.66,345000,2005,Maine,Northeast,23,0.0,2748.5,358.2,0.0,0.0,3106.7
ME,8000,33,264000,145000,1.41,372000,2003,Maine,Northeast,23,0.0,4134.9,1127.9,0.0,0.0,5262.8
ME,8000,47,376000,41000,4.99,1876000,2014,Maine,Northeast,23,9.7,3198.1,1715.3,228.3,0.0,5151.4
ME,9000,26,234000,59000,1.32,309000,2007,Maine,Northeast,23,0.0,2030.4,23.5,189.7,0.0,2243.6
MI,85000,70,5950000,3273000,0.77,4582000,1997,Michigan,Midwest,26,0.0,3732.4,0.0,0.0,0.0,3732.4
MI,90000,77,6930000,2980000,0.57,3950000,1993,Michigan,Midwest,26,,,,,,
MI,90000,86,7740000,3870000,0.55,4257000,1994,Michigan,Midwest,26,,,,,,
MI,90000,96,8640000,4320000,1.01,8726000,1996,Michigan,Midwest,26,0.0,6142.1,0.0,0.0,0.0,6142.1
MI,95000,68,6460000,2067000,0.59,3811000,1992,Michigan,Midwest,26,,,,,,
MI,97000,92,8924000,3570000,0.78,6961000,1995,Michigan,Midwest,26,0.0,1710.1,0.0,0.0,0.0,1710.1
MI,105000,73,7665000,2683000,0.57,4369000,1991,Michigan,Midwest,26,,,,,,
MI,65000,67,4355000,2439000,1.16,5052000,2004,Michigan,Midwest,26,3321.5,5746.3,905.0,260.5,1723.5,11956.8
MI,65000,68,4420000,2519000,0.94,4155000,2005,Michigan,Midwest,26,6813.3,4993.1,2465.4,727.7,1792.1,16791.6
MI,65000,74,4810000,1732000,1.41,6782000,2003,Michigan,Midwest,26,0.0,3450.4,907.7,341.2,0.0,4699.3
MI,66000,60,3960000,1505000,1.55,6138000,2009,Michigan,Midwest,26,11210.6,12518.4,14872.2,649.4,1082.2,40332.8
MI,71000,58,4118000,1524000,1.67,6877000,2010,Michigan,Midwest,26,11898.8,16153.4,12375.6,814.7,1308.2,42550.7
MI,71000,73,5183000,2021000,1.44,7464000,2008,Michigan,Midwest,26,17502.5,4558.1,8610.2,746.4,1114.6,32531.8
MI,72000,55,3960000,2099000,1.15,4554000,2006,Michigan,Midwest,26,8632.8,6425.4,5611.0,373.0,1250.8,22293.0
MI,72000,64,4608000,2350000,1.19,5484000,2007,Michigan,Midwest,26,14722.5,3854.9,8348.9,553.7,1853.0,29333.0
MI,72000,75,5400000,2970000,0.6,3240000,2000,Michigan,Midwest,26,0.0,5003.6,0.0,0.0,0.0,5003.6
MI,72000,77,5544000,1885000,1.4,7762000,2002,Michigan,Midwest,26,0.0,2973.7,762.0,0.0,0.0,3735.7
MI,73000,57,4161000,1332000,2.03,8447000,2012,Michigan,Midwest,26,36304.2,17017.8,11432.9,707.1,419.9,65881.9
MI,73000,85,6205000,3475000,0.66,4095000,1999,Michigan,Midwest,26,0.0,3453.0,0.0,0.0,0.0,3453.0
MI,74000,64,4736000,2084000,1.81,8572000,2011,Michigan,Midwest,26,17898.8,16502.5,15941.1,1167.8,840.3,52350.5
MI,76000,60,4560000,2827000,0.81,3694000,2001,Michigan,Midwest,26,0.0,4091.4,24.8,0.0,0.0,4116.2
MI,80000,85,6800000,3672000,0.66,4488000,1998,Michigan,Midwest,26,0.0,5238.3,0.0,0.0,0.0,5238.3
MI,85000,55,4675000,982000,2.16,10098000,2013,Michigan,Midwest,26,44878.1,19755.4,14566.3,1127.3,863.8,81190.9
MI,87000,45,3915000,822000,2.41,9435000,2017,Michigan,Midwest,26,,,,,,
MI,89000,60,5340000,1709000,2.37,12656000,2016,Michigan,Midwest,26,509.1,8771.4,3079.9,1408.7,0.0,13769.1
MI,90000,58,5220000,1984000,2.44,12737000,2015,Michigan,Midwest,26,730.3,8303.2,8145.2,1665.4,56.0,18900.1
MI,91000,63,5733000,1835000,2.49,14275000,2014,Michigan,Midwest,26,45281.4,17131.4,20021.4,794.3,1107.0,84335.5
MN,145000,73,10585000,2011000,0.74,7833000,1997,Minnesota,Midwest,27,0.0,4246.7,0.0,0.0,0.0,4246.7
MN,150000,77,11550000,1617000,0.9,10395000,1996,Minnesota,Midwest,27,0.0,6288.3,0.0,0.0,0.0,6288.3
MN,165000,82,13530000,1218000,0.7,9471000,1995,Minnesota,Midwest,27,0.0,834.7,0.0,0.0,0.0,834.7
MN,170000,79,13430000,2149000,0.52,6984000,1994,Minnesota,Midwest,27,,,,,,
MN,180000,80,14400000,2160000,0.53,7632000,1993,Minnesota,Midwest,27,,,,,,
MN,180000,91,16380000,2457000,0.54,8845000,1991,Minnesota,Midwest,27,,,,,,
MN,190000,90,17100000,3591000,0.54,9234000,1992,Minnesota,Midwest,27,,,,,,
MN,117000,73,8541000,1110000,1.47,12555000,2002,Minnesota,Midwest,27,0.0,3265.3,1609.1,0.0,0.0,4874.4
